time,flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
1325.296183,1.55E+03,7.44E+00,4.54E-04,70445,537.08782,1435.58444,1.40E+03,5.60E+00,6.80E+02,2.06E+00,1.55E+03,7.44E+00,0,,,,,537.08782,2.72E-03,1435.58444,1.88E-03,5.55E-02,-3.62E-02
1325.297572,1.54E+03,7.44E+00,4.54E-04,70446,537.06572,1435.57103,1.39E+03,5.60E+00,6.85E+02,2.06E+00,1.54E+03,7.44E+00,0,,,,,537.06572,2.72E-03,1435.57103,1.89E-03,2.86E-02,-6.93E-02
1325.298961,1.54E+03,7.45E+00,4.54E-04,70447,537.0693,1435.56933,1.40E+03,5.61E+00,6.82E+02,2.06E+00,1.54E+03,7.45E+00,0,,,,,537.0693,2.72E-03,1435.56933,1.89E-03,2.84E-02,-7.36E-02
1325.30035,1.54E+03,7.46E+00,4.54E-04,70448,537.06369,1435.56147,1.39E+03,5.61E+00,6.82E+02,2.06E+00,1.54E+03,7.46E+00,0,,,,,537.06369,2.73E-03,1435.56147,1.90E-03,2.74E-02,-8.48E-02
1325.301738,1.54E+03,7.45E+00,4.54E-04,70449,537.05965,1435.56443,1.40E+03,5.61E+00,6.85E+02,2.06E+00,1.54E+03,7.45E+00,0,,,,,537.05965,2.72E-03,1435.56443,1.89E-03,2.09E-02,-8.44E-02
1325.303127,1.55E+03,7.45E+00,4.54E-04,70450,537.05943,1435.56193,1.40E+03,5.61E+00,6.80E+02,2.06E+00,1.55E+03,7.45E+00,0,,,,,537.05943,2.72E-03,1435.56193,1.88E-03,2.00E-02,-8.48E-02
1325.304516,1.53E+03,7.44E+00,4.54E-04,70451,537.06233,1435.56095,1.39E+03,5.60E+00,6.84E+02,2.07E+00,1.53E+03,7.44E+00,0,,,,,537.06233,2.73E-03,1435.56095,1.90E-03,2.40E-02,-8.91E-02
1325.305905,1.55E+03,7.44E+00,4.54E-04,70452,537.06114,1435.56537,1.40E+03,5.60E+00,6.83E+02,2.06E+00,1.55E+03,7.44E+00,0,,,,,537.06114,2.71E-03,1435.56537,1.88E-03,2.28E-02,-8.54E-02
1325.307294,1.53E+03,7.44E+00,4.54E-04,70453,537.05956,1435.56125,1.39E+03,5.60E+00,6.85E+02,2.06E+00,1.53E+03,7.44E+00,0,,,,,537.05956,2.73E-03,1435.56125,1.90E-03,1.91E-02,-8.80E-02
1325.308683,1.55E+03,7.44E+00,4.54E-04,70454,537.0587,1435.56862,1.40E+03,5.60E+00,6.81E+02,2.06E+00,1.55E+03,7.44E+00,0,,,,,537.0587,2.71E-03,1435.56862,1.88E-03,1.97E-02,-8.21E-02
1325.310072,1.55E+03,7.45E+00,4.54E-04,70455,537.05149,1435.55655,1.40E+03,5.61E+00,6.85E+02,2.06E+00,1.55E+03,7.45E+00,0,,,,,537.05149,2.70E-03,1435.55655,1.88E-03,1.33E-02,-9.38E-02
1325.311461,1.52E+03,7.44E+00,4.54E-04,70456,537.06304,1435.56337,1.38E+03,5.60E+00,6.90E+02,2.07E+00,1.52E+03,7.44E+00,0,,,,,537.06304,2.76E-03,1435.56337,1.91E-03,2.74E-02,-8.53E-02
1325.312849,1.55E+03,7.45E+00,4.54E-04,70457,537.0587,1435.56437,1.40E+03,5.61E+00,6.85E+02,2.06E+00,1.55E+03,7.45E+00,0,,,,,537.0587,2.71E-03,1435.56437,1.88E-03,2.09E-02,-8.43E-02
1325.314238,1.54E+03,7.44E+00,4.54E-04,70458,537.05278,1435.56072,1.40E+03,5.60E+00,6.85E+02,2.06E+00,1.54E+03,7.44E+00,0,,,,,537.05278,2.72E-03,1435.56072,1.89E-03,1.38E-02,-9.03E-02
1325.315627,1.53E+03,7.43E+00,4.54E-04,70459,537.06391,1435.5609,1.39E+03,5.59E+00,6.86E+02,2.06E+00,1.53E+03,7.43E+00,0,,,,,537.06391,2.72E-03,1435.5609,1.90E-03,2.28E-02,-8.73E-02
1325.317016,1.54E+03,7.45E+00,4.54E-04,70460,537.05773,1435.56483,1.39E+03,5.61E+00,6.91E+02,2.07E+00,1.54E+03,7.45E+00,0,,,,,537.05773,2.72E-03,1435.56483,1.89E-03,1.94E-02,-8.86E-02
1325.318405,1.53E+03,7.44E+00,4.54E-04,70461,537.06058,1435.5624,1.39E+03,5.60E+00,6.86E+02,2.06E+00,1.53E+03,7.44E+00,0,,,,,537.06058,2.73E-03,1435.5624,1.90E-03,2.28E-02,-8.03E-02
1325.319794,1.53E+03,7.44E+00,4.54E-04,70462,537.05488,1435.56407,1.39E+03,5.60E+00,6.90E+02,2.07E+00,1.53E+03,7.44E+00,0,,,,,537.05488,2.73E-03,1435.56407,1.90E-03,1.96E-02,-8.73E-02
1325.321183,1.53E+03,7.44E+00,4.54E-04,70463,537.05704,1435.56624,1.39E+03,5.60E+00,6.90E+02,2.07E+00,1.53E+03,7.44E+00,0,,,,,537.05704,2.74E-03,1435.56624,1.90E-03,1.65E-02,-8.44E-02
1325.322572,1.53E+03,7.46E+00,4.54E-04,70464,537.06119,1435.55901,1.39E+03,5.61E+00,6.91E+02,2.07E+00,1.53E+03,7.46E+00,0,,,,,537.06119,2.73E-03,1435.55901,1.90E-03,2.18E-02,-8.79E-02
1325.323961,1.52E+03,7.44E+00,4.54E-04,70465,537.05465,1435.56339,1.38E+03,5.60E+00,6.94E+02,2.07E+00,1.52E+03,7.44E+00,0,,,,,537.05465,2.74E-03,1435.56339,1.90E-03,1.58E-02,-8.27E-02
1325.325349,1.53E+03,7.45E+00,4.54E-04,70466,537.06384,1435.55556,1.39E+03,5.61E+00,6.93E+02,2.07E+00,1.53E+03,7.45E+00,0,,,,,537.06384,2.73E-03,1435.55556,1.90E-03,1.97E-02,-9.73E-02
1325.326738,1.52E+03,7.44E+00,4.54E-04,70467,537.06347,1435.56538,1.38E+03,5.60E+00,6.90E+02,2.07E+00,1.52E+03,7.44E+00,0,,,,,537.06347,2.74E-03,1435.56538,1.90E-03,2.04E-02,-8.19E-02
1325.328127,1.53E+03,7.44E+00,4.54E-04,70468,537.05927,1435.56558,1.39E+03,5.60E+00,6.91E+02,2.07E+00,1.53E+03,7.44E+00,0,,,,,537.05927,2.73E-03,1435.56558,1.89E-03,2.13E-02,-8.56E-02
1325.329516,1.53E+03,7.45E+00,4.54E-04,70469,537.06131,1435.56128,1.39E+03,5.61E+00,6.93E+02,2.07E+00,1.53E+03,7.45E+00,0,,,,,537.06131,2.73E-03,1435.56128,1.90E-03,2.32E-02,-8.94E-02
1325.330905,1.53E+03,7.45E+00,4.54E-04,70470,537.0584,1435.56297,1.39E+03,5.61E+00,6.90E+02,2.07E+00,1.53E+03,7.45E+00,0,,,,,537.0584,2.74E-03,1435.56297,1.90E-03,1.71E-02,-8.25E-02
1325.332294,1.54E+03,7.46E+00,4.54E-04,70471,537.06229,1435.55891,1.39E+03,5.61E+00,6.95E+02,2.07E+00,1.54E+03,7.46E+00,0,,,,,537.06229,2.73E-03,1435.55891,1.90E-03,2.19E-02,-8.99E-02
1325.333683,1.52E+03,7.45E+00,4.54E-04,70472,537.06344,1435.56236,1.38E+03,5.61E+00,6.94E+02,2.07E+00,1.52E+03,7.45E+00,0,,,,,537.06344,2.75E-03,1435.56236,1.91E-03,2.54E-02,-8.77E-02
1325.335072,1.53E+03,7.46E+00,4.54E-04,70473,537.06333,1435.56295,1.39E+03,5.61E+00,6.98E+02,2.08E+00,1.53E+03,7.46E+00,0,,,,,537.06333,2.73E-03,1435.56295,1.90E-03,2.15E-02,-8.72E-02
1325.33646,1.52E+03,7.45E+00,4.54E-04,70474,537.05414,1435.56478,1.38E+03,5.61E+00,7.00E+02,2.07E+00,1.52E+03,7.45E+00,0,,,,,537.05414,2.75E-03,1435.56478,1.91E-03,1.50E-02,-8.26E-02
1325.337849,1.53E+03,7.47E+00,4.54E-04,70475,537.06049,1435.5633,1.39E+03,5.62E+00,7.00E+02,2.08E+00,1.53E+03,7.47E+00,0,,,,,537.06049,2.74E-03,1435.5633,1.90E-03,2.14E-02,-8.51E-02
1325.339238,1.54E+03,7.47E+00,4.54E-04,70476,537.06339,1435.56362,1.39E+03,5.62E+00,7.00E+02,2.07E+00,1.54E+03,7.47E+00,0,,,,,537.06339,2.73E-03,1435.56362,1.90E-03,2.22E-02,-8.93E-02
1325.340627,1.53E+03,7.46E+00,4.54E-04,70477,537.05855,1435.57115,1.39E+03,5.62E+00,7.00E+02,2.08E+00,1.53E+03,7.46E+00,0,,,,,537.05855,2.73E-03,1435.57115,1.90E-03,1.83E-02,-8.41E-02
1325.342016,1.54E+03,7.48E+00,4.54E-04,70478,537.05779,1435.55951,1.40E+03,5.63E+00,7.03E+02,2.08E+00,1.54E+03,7.48E+00,0,,,,,537.05779,2.73E-03,1435.55951,1.89E-03,1.86E-02,-9.16E-02
1325.343405,1.53E+03,7.47E+00,4.54E-04,70479,537.06153,1435.5632,1.39E+03,5.62E+00,7.02E+02,2.08E+00,1.53E+03,7.47E+00,0,,,,,537.06153,2.74E-03,1435.5632,1.90E-03,2.32E-02,-8.45E-02
1325.344794,1.53E+03,7.46E+00,4.54E-04,70480,537.06315,1435.56264,1.39E+03,5.62E+00,7.01E+02,2.08E+00,1.53E+03,7.46E+00,0,,,,,537.06315,2.75E-03,1435.56264,1.90E-03,1.84E-02,-8.56E-02
1325.346183,1.54E+03,7.47E+00,4.54E-04,70481,537.0573,1435.56052,1.39E+03,5.63E+00,7.05E+02,2.08E+00,1.54E+03,7.47E+00,0,,,,,537.0573,2.73E-03,1435.56052,1.90E-03,2.18E-02,-8.93E-02
1325.347572,1.55E+03,7.49E+00,4.54E-04,70482,537.05824,1435.56075,1.40E+03,5.64E+00,7.06E+02,2.08E+00,1.55E+03,7.49E+00,0,,,,,537.05824,2.72E-03,1435.56075,1.89E-03,2.03E-02,-8.93E-02
1325.34896,1.54E+03,7.48E+00,4.54E-04,70483,537.05969,1435.56242,1.40E+03,5.63E+00,7.04E+02,2.08E+00,1.54E+03,7.48E+00,0,,,,,537.05969,2.73E-03,1435.56242,1.90E-03,2.27E-02,-8.84E-02
1325.350349,1.53E+03,7.47E+00,4.54E-04,70484,537.05629,1435.56541,1.39E+03,5.62E+00,7.04E+02,2.08E+00,1.53E+03,7.47E+00,0,,,,,537.05629,2.74E-03,1435.56541,1.91E-03,1.70E-02,-8.28E-02
1325.351738,1.53E+03,7.48E+00,4.54E-04,70485,537.06106,1435.55798,1.39E+03,5.63E+00,7.10E+02,2.09E+00,1.53E+03,7.48E+00,0,,,,,537.06106,2.74E-03,1435.55798,1.91E-03,1.93E-02,-8.99E-02
1325.353127,1.52E+03,7.47E+00,4.54E-04,70486,537.06704,1435.5638,1.38E+03,5.62E+00,7.07E+02,2.08E+00,1.52E+03,7.47E+00,0,,,,,537.06704,2.75E-03,1435.5638,1.91E-03,2.42E-02,-8.74E-02
1325.354516,1.54E+03,7.48E+00,4.54E-04,70487,537.05801,1435.56386,1.39E+03,5.63E+00,7.08E+02,2.08E+00,1.54E+03,7.48E+00,0,,,,,537.05801,2.74E-03,1435.56386,1.90E-03,2.09E-02,-8.38E-02
1325.355905,1.55E+03,7.50E+00,4.54E-04,70488,537.05985,1435.56316,1.40E+03,5.64E+00,7.12E+02,2.09E+00,1.55E+03,7.50E+00,0,,,,,537.05985,2.72E-03,1435.56316,1.89E-03,2.17E-02,-8.51E-02
1325.357294,1.54E+03,7.50E+00,4.54E-04,70489,537.06054,1435.56149,1.40E+03,5.64E+00,7.14E+02,2.09E+00,1.54E+03,7.50E+00,0,,,,,537.06054,2.73E-03,1435.56149,1.90E-03,1.98E-02,-8.39E-02
1325.358683,1.52E+03,7.48E+00,4.54E-04,70490,537.06072,1435.55868,1.39E+03,5.63E+00,7.14E+02,2.09E+00,1.52E+03,7.48E+00,0,,,,,537.06072,2.76E-03,1435.55868,1.91E-03,2.17E-02,-9.20E-02
1325.360071,1.53E+03,7.49E+00,4.54E-04,70491,537.05663,1435.55983,1.39E+03,5.64E+00,7.15E+02,2.09E+00,1.53E+03,7.49E+00,0,,,,,537.05663,2.75E-03,1435.55983,1.91E-03,2.09E-02,-8.84E-02
1325.36146,1.53E+03,7.50E+00,4.54E-04,70492,537.05777,1435.56498,1.39E+03,5.64E+00,7.14E+02,2.09E+00,1.53E+03,7.50E+00,0,,,,,537.05777,2.74E-03,1435.56498,1.91E-03,1.96E-02,-8.63E-02
1325.362849,1.53E+03,7.49E+00,4.54E-04,70493,537.05639,1435.56621,1.39E+03,5.64E+00,7.15E+02,2.09E+00,1.53E+03,7.49E+00,0,,,,,537.05639,2.75E-03,1435.56621,1.91E-03,1.96E-02,-8.65E-02
1325.364238,1.53E+03,7.50E+00,4.54E-04,70494,537.06199,1435.56487,1.39E+03,5.64E+00,7.16E+02,2.10E+00,1.53E+03,7.50E+00,0,,,,,537.06199,2.75E-03,1435.56487,1.91E-03,2.22E-02,-8.74E-02
1325.365627,1.54E+03,7.50E+00,4.54E-04,70495,537.05778,1435.56275,1.39E+03,5.65E+00,7.18E+02,2.10E+00,1.54E+03,7.50E+00,0,,,,,537.05778,2.74E-03,1435.56275,1.91E-03,2.16E-02,-8.65E-02
1325.367016,1.53E+03,7.50E+00,4.54E-04,70496,537.06251,1435.56255,1.39E+03,5.64E+00,7.20E+02,2.09E+00,1.53E+03,7.50E+00,0,,,,,537.06251,2.76E-03,1435.56255,1.92E-03,2.01E-02,-8.67E-02
1325.368405,1.55E+03,7.50E+00,4.54E-04,70497,537.05877,1435.56254,1.40E+03,5.65E+00,7.15E+02,2.09E+00,1.55E+03,7.50E+00,0,,,,,537.05877,2.73E-03,1435.56254,1.90E-03,2.01E-02,-8.79E-02
1325.369794,1.53E+03,7.50E+00,4.54E-04,70498,537.06496,1435.56688,1.39E+03,5.64E+00,7.18E+02,2.09E+00,1.53E+03,7.50E+00,0,,,,,537.06496,2.75E-03,1435.56688,1.91E-03,2.36E-02,-8.41E-02
1325.371183,1.53E+03,7.50E+00,4.54E-04,70499,537.05581,1435.56534,1.39E+03,5.64E+00,7.22E+02,2.09E+00,1.53E+03,7.50E+00,0,,,,,537.05581,2.76E-03,1435.56534,1.91E-03,1.74E-02,-8.22E-02
1325.372571,1.53E+03,7.51E+00,4.54E-04,70500,537.06368,1435.5593,1.39E+03,5.65E+00,7.22E+02,2.10E+00,1.53E+03,7.51E+00,0,,,,,537.06368,2.76E-03,1435.5593,1.91E-03,1.97E-02,-9.45E-02
1325.37396,1.54E+03,7.52E+00,4.54E-04,70501,537.06564,1435.56586,1.40E+03,5.66E+00,7.25E+02,2.10E+00,1.54E+03,7.52E+00,0,,,,,537.06564,2.74E-03,1435.56586,1.91E-03,2.54E-02,-8.54E-02
1325.375349,1.54E+03,7.52E+00,4.54E-04,70502,537.05768,1435.56178,1.40E+03,5.66E+00,7.24E+02,2.10E+00,1.54E+03,7.52E+00,0,,,,,537.05768,2.74E-03,1435.56178,1.90E-03,1.99E-02,-8.88E-02
1325.376738,1.53E+03,7.51E+00,4.54E-04,70503,537.0585,1435.56023,1.39E+03,5.65E+00,7.23E+02,2.10E+00,1.53E+03,7.51E+00,0,,,,,537.0585,2.75E-03,1435.56023,1.91E-03,1.86E-02,-9.29E-02
1325.378127,1.53E+03,7.51E+00,4.54E-04,70504,537.05583,1435.56371,1.39E+03,5.65E+00,7.25E+02,2.10E+00,1.53E+03,7.51E+00,0,,,,,537.05583,2.76E-03,1435.56371,1.91E-03,1.93E-02,-8.56E-02
1325.379516,1.55E+03,7.52E+00,4.54E-04,70505,537.05768,1435.56122,1.40E+03,5.66E+00,7.26E+02,2.10E+00,1.55E+03,7.52E+00,0,,,,,537.05768,2.74E-03,1435.56122,1.90E-03,2.19E-02,-8.56E-02
1325.380905,1.53E+03,7.52E+00,4.54E-04,70506,537.05561,1435.56291,1.39E+03,5.66E+00,7.32E+02,2.10E+00,1.53E+03,7.52E+00,0,,,,,537.05561,2.76E-03,1435.56291,1.91E-03,1.12E-02,-8.93E-02
1325.382294,1.54E+03,7.52E+00,4.54E-04,70507,537.0714,1435.56277,1.39E+03,5.66E+00,7.30E+02,2.10E+00,1.54E+03,7.52E+00,0,,,,,537.0714,2.76E-03,1435.56277,1.91E-03,2.94E-02,-8.69E-02
1325.383682,1.54E+03,7.52E+00,4.54E-04,70508,537.0661,1435.56196,1.39E+03,5.66E+00,7.30E+02,2.11E+00,1.54E+03,7.52E+00,0,,,,,537.0661,2.75E-03,1435.56196,1.91E-03,2.49E-02,-8.47E-02
1325.385071,1.54E+03,7.53E+00,4.54E-04,70509,537.05981,1435.56003,1.40E+03,5.66E+00,7.30E+02,2.10E+00,1.54E+03,7.53E+00,0,,,,,537.05981,2.74E-03,1435.56003,1.91E-03,1.75E-02,-8.87E-02
1325.38646,1.55E+03,7.55E+00,4.54E-04,70510,537.06439,1435.56495,1.40E+03,5.68E+00,7.31E+02,2.11E+00,1.55E+03,7.55E+00,0,,,,,537.06439,2.75E-03,1435.56495,1.90E-03,2.72E-02,-8.23E-02
1325.387849,1.55E+03,7.55E+00,4.54E-04,70511,537.05919,1435.56275,1.41E+03,5.69E+00,7.38E+02,2.11E+00,1.55E+03,7.55E+00,0,,,,,537.05919,2.73E-03,1435.56275,1.90E-03,1.61E-02,-8.89E-02
1325.389238,1.54E+03,7.53E+00,4.54E-04,70512,537.05544,1435.56024,1.40E+03,5.67E+00,7.33E+02,2.10E+00,1.54E+03,7.53E+00,0,,,,,537.05544,2.74E-03,1435.56024,1.90E-03,1.86E-02,-8.78E-02
1325.390627,1.53E+03,7.53E+00,4.54E-04,70513,537.06319,1435.56353,1.39E+03,5.67E+00,7.38E+02,2.11E+00,1.53E+03,7.53E+00,0,,,,,537.06319,2.76E-03,1435.56353,1.91E-03,2.03E-02,-8.53E-02
1325.392016,1.54E+03,7.54E+00,4.54E-04,70514,537.05774,1435.56,1.40E+03,5.68E+00,7.37E+02,2.11E+00,1.54E+03,7.54E+00,0,,,,,537.05774,2.75E-03,1435.56,1.91E-03,1.92E-02,-9.44E-02
1325.393405,1.54E+03,7.54E+00,4.54E-04,70515,537.06328,1435.5618,1.40E+03,5.68E+00,7.39E+02,2.11E+00,1.54E+03,7.54E+00,0,,,,,537.06328,2.75E-03,1435.5618,1.91E-03,2.31E-02,-8.50E-02
1325.394793,1.55E+03,7.54E+00,4.54E-04,70516,537.05926,1435.56438,1.40E+03,5.68E+00,7.38E+02,2.11E+00,1.55E+03,7.54E+00,0,,,,,537.05926,2.75E-03,1435.56438,1.91E-03,1.83E-02,-8.70E-02
1325.396182,1.56E+03,7.56E+00,4.54E-04,70517,537.06356,1435.56448,1.41E+03,5.69E+00,7.38E+02,2.11E+00,1.56E+03,7.56E+00,0,,,,,537.06356,2.74E-03,1435.56448,1.90E-03,2.17E-02,-8.51E-02
1325.397571,1.56E+03,7.56E+00,4.54E-04,70518,537.05703,1435.56151,1.41E+03,5.69E+00,7.38E+02,2.11E+00,1.56E+03,7.56E+00,0,,,,,537.05703,2.73E-03,1435.56151,1.89E-03,2.00E-02,-8.82E-02
1325.39896,1.55E+03,7.56E+00,4.54E-04,70519,537.06327,1435.56327,1.41E+03,5.69E+00,7.44E+02,2.12E+00,1.55E+03,7.56E+00,0,,,,,537.06327,2.74E-03,1435.56327,1.90E-03,2.32E-02,-8.76E-02
1325.400349,1.54E+03,7.56E+00,4.54E-04,70520,537.05735,1435.5585,1.40E+03,5.69E+00,7.47E+02,2.12E+00,1.54E+03,7.56E+00,0,,,,,537.05735,2.75E-03,1435.5585,1.91E-03,1.97E-02,-9.81E-02
1325.401738,1.55E+03,7.57E+00,4.54E-04,70521,537.06345,1435.56353,1.41E+03,5.69E+00,7.46E+02,2.12E+00,1.55E+03,7.57E+00,0,,,,,537.06345,2.75E-03,1435.56353,1.90E-03,2.26E-02,-8.22E-02
1325.403127,1.53E+03,7.55E+00,4.54E-04,70522,537.05969,1435.56561,1.39E+03,5.68E+00,7.50E+02,2.12E+00,1.53E+03,7.55E+00,0,,,,,537.05969,2.77E-03,1435.56561,1.92E-03,1.91E-02,-8.04E-02
1325.404516,1.53E+03,7.55E+00,4.54E-04,70523,537.06083,1435.56483,1.39E+03,5.69E+00,7.48E+02,2.12E+00,1.53E+03,7.55E+00,0,,,,,537.06083,2.77E-03,1435.56483,1.92E-03,2.09E-02,-8.25E-02
1325.405905,1.55E+03,7.57E+00,4.54E-04,70524,537.05836,1435.56066,1.40E+03,5.70E+00,7.48E+02,2.12E+00,1.55E+03,7.57E+00,0,,,,,537.05836,2.75E-03,1435.56066,1.91E-03,2.34E-02,-9.19E-02
1325.407293,1.54E+03,7.56E+00,4.54E-04,70525,537.06222,1435.56269,1.40E+03,5.69E+00,7.51E+02,2.12E+00,1.54E+03,7.56E+00,0,,,,,537.06222,2.76E-03,1435.56269,1.92E-03,2.24E-02,-8.47E-02
1325.408682,1.56E+03,7.58E+00,4.54E-04,70526,537.06071,1435.5603,1.41E+03,5.71E+00,7.51E+02,2.13E+00,1.56E+03,7.58E+00,0,,,,,537.06071,2.74E-03,1435.5603,1.90E-03,2.14E-02,-8.95E-02
1325.410071,1.54E+03,7.57E+00,4.54E-04,70527,537.06524,1435.56341,1.40E+03,5.70E+00,7.54E+02,2.12E+00,1.54E+03,7.57E+00,0,,,,,537.06524,2.77E-03,1435.56341,1.92E-03,2.32E-02,-8.03E-02
1325.41146,1.55E+03,7.58E+00,4.54E-04,70528,537.06514,1435.56762,1.41E+03,5.71E+00,7.54E+02,2.12E+00,1.55E+03,7.58E+00,0,,,,,537.06514,2.75E-03,1435.56762,1.91E-03,2.52E-02,-7.53E-02
1325.412849,1.55E+03,7.59E+00,4.54E-04,70529,537.06085,1435.56095,1.41E+03,5.71E+00,7.55E+02,2.13E+00,1.55E+03,7.59E+00,0,,,,,537.06085,2.76E-03,1435.56095,1.91E-03,1.91E-02,-9.22E-02
1325.414238,1.55E+03,7.59E+00,4.54E-04,70530,537.04963,1435.56012,1.40E+03,5.71E+00,7.57E+02,2.13E+00,1.55E+03,7.59E+00,0,,,,,537.04963,2.76E-03,1435.56012,1.91E-03,1.51E-02,-9.60E-02
1325.415627,1.55E+03,7.58E+00,4.54E-04,70531,537.05494,1435.56434,1.41E+03,5.71E+00,7.54E+02,2.13E+00,1.55E+03,7.58E+00,0,,,,,537.05494,2.76E-03,1435.56434,1.91E-03,1.56E-02,-8.57E-02
1325.417016,1.55E+03,7.58E+00,4.54E-04,70532,537.06685,1435.56175,1.40E+03,5.70E+00,7.55E+02,2.12E+00,1.55E+03,7.58E+00,0,,,,,537.06685,2.76E-03,1435.56175,1.91E-03,2.87E-02,-8.64E-02
1325.418404,1.54E+03,7.57E+00,4.54E-04,70533,537.05335,1435.5581,1.40E+03,5.70E+00,7.58E+02,2.13E+00,1.54E+03,7.57E+00,0,,,,,537.05335,2.76E-03,1435.5581,1.92E-03,1.68E-02,-9.43E-02
1325.419793,1.55E+03,7.58E+00,4.54E-04,70534,537.06243,1435.56648,1.40E+03,5.71E+00,7.56E+02,2.13E+00,1.55E+03,7.58E+00,0,,,,,537.06243,2.76E-03,1435.56648,1.91E-03,2.38E-02,-8.21E-02
1325.421182,1.55E+03,7.61E+00,4.54E-04,70535,537.05959,1435.56406,1.40E+03,5.73E+00,7.61E+02,2.13E+00,1.55E+03,7.61E+00,0,,,,,537.05959,2.78E-03,1435.56406,1.92E-03,1.96E-02,-8.56E-02
1325.422571,1.55E+03,7.59E+00,4.54E-04,70536,537.06146,1435.5595,1.40E+03,5.71E+00,7.60E+02,2.13E+00,1.55E+03,7.59E+00,0,,,,,537.06146,2.76E-03,1435.5595,1.91E-03,2.32E-02,-8.82E-02
1325.42396,1.55E+03,7.60E+00,4.54E-04,70537,537.05596,1435.56213,1.41E+03,5.72E+00,7.64E+02,2.13E+00,1.55E+03,7.60E+00,0,,,,,537.05596,2.76E-03,1435.56213,1.91E-03,1.80E-02,-8.73E-02
1325.425349,1.55E+03,7.60E+00,4.54E-04,70538,537.06382,1435.56132,1.41E+03,5.72E+00,7.63E+02,2.13E+00,1.55E+03,7.60E+00,0,,,,,537.06382,2.76E-03,1435.56132,1.91E-03,2.56E-02,-8.73E-02
1325.426738,1.54E+03,7.60E+00,4.54E-04,70539,537.0609,1435.55951,1.40E+03,5.72E+00,7.66E+02,2.14E+00,1.54E+03,7.60E+00,0,,,,,537.0609,2.77E-03,1435.55951,1.92E-03,1.95E-02,-9.15E-02
1325.428127,1.56E+03,7.60E+00,4.54E-04,70540,537.06024,1435.56887,1.41E+03,5.72E+00,7.62E+02,2.13E+00,1.56E+03,7.60E+00,0,,,,,537.06024,2.75E-03,1435.56887,1.90E-03,2.04E-02,-8.41E-02
1325.429516,1.54E+03,7.59E+00,4.54E-04,70541,537.0621,1435.55856,1.40E+03,5.72E+00,7.68E+02,2.14E+00,1.54E+03,7.59E+00,0,,,,,537.0621,2.77E-03,1435.55856,1.92E-03,2.09E-02,-9.29E-02
1325.430904,1.54E+03,7.59E+00,4.54E-04,70542,537.05629,1435.56626,1.40E+03,5.72E+00,7.63E+02,2.14E+00,1.54E+03,7.59E+00,0,,,,,537.05629,2.78E-03,1435.56626,1.92E-03,1.80E-02,-8.47E-02
1325.432293,1.55E+03,7.60E+00,4.54E-04,70543,537.06636,1435.55996,1.40E+03,5.72E+00,7.68E+02,2.14E+00,1.55E+03,7.60E+00,0,,,,,537.06636,2.77E-03,1435.55996,1.92E-03,2.78E-02,-8.64E-02
1325.433682,1.55E+03,7.61E+00,4.54E-04,70544,537.06351,1435.56073,1.40E+03,5.73E+00,7.71E+02,2.14E+00,1.55E+03,7.61E+00,0,,,,,537.06351,2.76E-03,1435.56073,1.92E-03,1.94E-02,-8.83E-02
1325.435071,1.55E+03,7.60E+00,4.54E-04,70545,537.06332,1435.56305,1.40E+03,5.72E+00,7.70E+02,2.14E+00,1.55E+03,7.60E+00,0,,,,,537.06332,2.76E-03,1435.56305,1.91E-03,2.22E-02,-8.69E-02
1325.43646,1.56E+03,7.62E+00,4.54E-04,70546,537.05991,1435.5605,1.41E+03,5.73E+00,7.71E+02,2.14E+00,1.56E+03,7.62E+00,0,,,,,537.05991,2.75E-03,1435.5605,1.91E-03,1.97E-02,-8.93E-02
1325.437849,1.55E+03,7.63E+00,4.54E-04,70547,537.06179,1435.56093,1.41E+03,5.74E+00,7.74E+02,2.14E+00,1.55E+03,7.63E+00,0,,,,,537.06179,2.77E-03,1435.56093,1.92E-03,2.25E-02,-9.13E-02
1325.439238,1.56E+03,7.62E+00,4.54E-04,70548,537.05882,1435.5615,1.41E+03,5.74E+00,7.71E+02,2.14E+00,1.56E+03,7.62E+00,0,,,,,537.05882,2.76E-03,1435.5615,1.91E-03,2.17E-02,-8.69E-02
1325.440627,1.54E+03,7.60E+00,4.54E-04,70549,537.05964,1435.56495,1.39E+03,5.72E+00,7.74E+02,2.14E+00,1.54E+03,7.60E+00,0,,,,,537.05964,2.78E-03,1435.56495,1.93E-03,1.97E-02,-8.59E-02
1325.442015,1.55E+03,7.61E+00,4.54E-04,70550,537.05861,1435.56039,1.40E+03,5.73E+00,7.75E+02,2.14E+00,1.55E+03,7.61E+00,0,,,,,537.05861,2.78E-03,1435.56039,1.92E-03,2.31E-02,-9.09E-02
1325.443404,1.54E+03,7.62E+00,4.54E-04,70551,537.05921,1435.56271,1.40E+03,5.74E+00,7.79E+02,2.15E+00,1.54E+03,7.62E+00,0,,,,,537.05921,2.78E-03,1435.56271,1.92E-03,2.42E-02,-8.96E-02
